|                JD|BandName|         FieldID| spw|      freq|      bw|           peak|              rms|
|            double|    char|            char|long|    double|  double|         double|           double|
|                  |        |                |    |          |        |               |                 |
|              null|    null|            null|null|      null|    null|           null|             null|
  58185.43138087963        Q "1331+305=3C286"   34 42301.8036 128000.0   1.37909984589  0.00113001639525 
  58185.43138087963        Q       J1733-1304   28 49280.9914 128000.0   1.10805058479  0.00126464018693 
  58185.43138087963        Q       J1744-3116    6 46512.9041 128000.0  0.134608909488   0.0001851688508 
  58185.43138087963        Q "1331+305=3C286"   63 45704.8416 128000.0   1.29043138027  0.00102611478786 
  58185.43138087963        Q       J1744-3116   27 49152.9914 128000.0  0.119929082692 0.000549965936686 
  58185.43138087963        Q       J1733-1304   45 43417.1245  32000.0   1.13365638256 0.000789375594717 
  58185.43138087963        Q "1331+305=3C286"   14 47536.9041 128000.0   1.23713445663  0.00108932648818 
  58185.43138087963        Q       J1744-3116   42 43115.4722  16000.0  0.122644335032  0.00013265109335 
  58185.43138087963        Q "1331+305=3C286"   27 49152.9914 128000.0   1.19289910793  0.00136153389661 
  58185.43138087963        Q       J1733-1304   51 44168.8416 128000.0   1.13015902042 0.000927348178015 
  58185.43138087963        Q       J1744-3116   63 45704.8416 128000.0  0.132009893656 0.000169588029463 
  58185.43138087963        Q "1331+305=3C286"   20 48367.2633  32000.0   1.21850979328  0.00122219525424 
  58185.43138087963        Q       J1733-1304    6 46512.9041 128000.0    1.1205073595  0.00086787465354 
  58185.43138087963        Q       J1744-3116   12 47280.9041 128000.0  0.136273682117 0.000210342667856 
  58185.43138087963        Q "1331+305=3C286"   33 42173.8036 128000.0   1.17738962173  0.00159228757987 
  58185.43138087963        Q       J1733-1304   25 49024.9914 128000.0   1.10892105103  0.00108561959999 
  58185.43138087963        Q "1331+305=3C286"   50  44065.791  32000.0   1.33465576172  0.00114088934346 
  58185.43138087963        Q       J1744-3116   22 48640.9914 128000.0   0.12709364295 0.000455061178128 
  58185.43138087963        Q "1331+305=3C286"   38 42685.8036 128000.0   1.36527752876  0.00173733102354 
  58185.43138087963        Q       J1733-1304   42 43115.4722  16000.0    1.1352211237 0.000778861864368 
  58185.43138087963        Q "1331+305=3C286"   13 47408.9041 128000.0   1.23716640472  0.00116056723125 
  58185.43138087963        Q       J1733-1304   61 45427.6161  64000.0   1.12538778782   0.0008836597915 
